ts,session_id,step_id,gt_label,pred_label,roll_deg,pitch_deg
1779167246.7019,5,CALIBRACION,Centro,Centro,-7.441,1.34
1779167246.8294,5,CALIBRACION,Centro,Centro,-7.016,1.34
1779167246.9617,5,CALIBRACION,Centro,Centro,-7.016,0.522
1779167247.0856,5,CALIBRACION,Centro,Centro,-5.716,0.522
1779167247.2265,5,CALIBRACION,Centro,Centro,-5.716,-0.212
1779167247.3551,5,CALIBRACION,Centro,Centro,-1.891,-0.212
1779167247.4905,5,CALIBRACION,Centro,Centro,-1.891,-0.271
1779167247.6224,5,CALIBRACION,Centro,Centro,-1.667,-1.117
1779167247.7447,5,CALIBRACION,Centro,Centro,-1.62,-1.536
1779167247.8619,5,CALIBRACION,Centro,Centro,0.307,-1.543
1779167247.9946,5,CALIBRACION,Centro,Centro,0.747,-1.801
1779167248.1223,5,CALIBRACION,Centro,Centro,2.47,-1.801
1779167248.2559,5,CALIBRACION,Centro,Centro,2.871,-2.301
1779167248.3843,5,CALIBRACION,Centro,Centro,8.632,-3.482
1779167248.5189,5,CALIBRACION,Centro,Centro,13.847,-4.873
1779167248.6501,5,CALIBRACION,Centro,Lateral,15.081,-5.974
1779167248.7834,5,CALIBRACION,Centro,Lateral,15.081,-6.809
1779167248.9125,5,CALIBRACION,Centro,Lateral,15.081,-9.122
1779167249.0416,5,CALIBRACION,Centro,Lateral,15.081,-9.82
1779167249.1762,5,CALIBRACION,Centro,Lateral,15.081,-9.825
1779167249.3039,5,CALIBRACION,Centro,Centro,14.247,-10.455
1779167249.5057,5,CALIBRACION,Centro,Centro,9.978,-10.495
1779167249.6667,5,CALIBRACION,Centro,Centro,9.978,-10.495
1779167249.7972,5,CALIBRACION,Centro,Centro,12.592,-10.455
1779167250.0066,5,CALIBRACION,Centro,Centro,14.247,-9.825
1779167250.1961,5,CALIBRACION,Centro,Centro,14.599,-9.709
1779167250.3543,5,CALIBRACION,Centro,Centro,14.599,-9.436
1779167250.4918,5,CALIBRACION,Centro,Lateral,15.846,-8.619
1779167250.6188,5,CALIBRACION,Centro,Lateral,16.942,-7.979
1779167250.7511,5,CALIBRACION,Centro,Lateral,16.942,-7.901
1779167250.8746,5,CALIBRACION,Centro,Lateral,18.597,-6.551
1779167250.9882,5,CALIBRACION,Centro,Lateral,18.597,-6.551
1779167251.1242,5,CALIBRACION,Centro,Lateral,18.597,-6.551
1779167251.2507,5,CALIBRACION,Centro,Lateral,18.597,-6.551
1779167251.3798,5,CALIBRACION,Centro,Lateral,17.453,-6.799
1779167251.5167,5,CALIBRACION,Centro,Lateral,16.475,-7.462
1779167251.6433,5,CALIBRACION,Centro,Lateral,16.083,-8.247
1779167251.7686,5,CALIBRACION,Centro,Lateral,16.001,-8.829
1779167251.8992,5,CALIBRACION,Centro,Centro,9.671,-10.31
1779167252.0405,5,CALIBRACION,Centro,Centro,8.483,-11.098
1779167252.1764,5,CALIBRACION,Centro,Centro,8.182,-11.705
1779167252.3116,5,CALIBRACION,Centro,Centro,7.515,-11.956
1779167252.4498,5,CALIBRACION,Centro,Centro,5.984,-12.077
1779167252.5801,5,CALIBRACION,Centro,Centro,5.984,-12.119
1779167252.7142,5,CALIBRACION,Centro,Centro,5.984,-12.242
1779167252.8433,5,CALIBRACION,Centro,Centro,5.839,-12.769
1779167252.9745,5,CALIBRACION,Centro,Centro,6.36,-13.056
1779167253.1006,5,CALIBRACION,Centro,Centro,6.36,-13.056
1779167253.2362,5,CALIBRACION,Centro,Centro,6.36,-13.208
1779167253.3693,5,CALIBRACION,Centro,Centro,7.462,-13.234
1779167253.5005,5,CALIBRACION,Centro,Centro,7.462,-13.435
1779167253.6263,5,CALIBRACION,Centro,Centro,7.462,-13.435
1779167253.7531,5,CALIBRACION,Centro,Centro,7.749,-13.234
1779167253.882,5,CALIBRACION,Centro,Centro,7.792,-13.22
1779167254.0068,5,CALIBRACION,Centro,Centro,8.049,-13.22
1779167254.136,5,CALIBRACION,Centro,Centro,8.208,-13.22
1779167254.2711,5,CALIBRACION,Centro,Centro,8.208,-12.496
1779167254.4201,5,CALIBRACION,Centro,Centro,8.208,-12.004
1779167254.5513,5,CALIBRACION,Centro,Centro,8.208,-12.004
1779167254.6862,5,CALIBRACION,Centro,Centro,6.444,-12.004
1779167254.8167,5,CALIBRACION,Centro,Centro,5.669,-12.004
1779167254.9454,5,CALIBRACION,Centro,Centro,5.669,-12.004
