ts,session_id,step_id,gt_label,pred_label,roll_deg,pitch_deg
1779167355.1376,8,CALIBRACION,Centro,Lateral,-35.94183745759708,45.237703412291516
1779167355.5381,8,CALIBRACION,Centro,Center,-53.15940285895603,35.78773642980255
1779167355.6702,8,CALIBRACION,Centro,Lateral,-33.77108923195967,34.28906428661501
1779167355.8061,8,CALIBRACION,Centro,Lateral,-35.7620558375895,8.674371021339871
1779167355.9384,8,CALIBRACION,Centro,Lateral,-29.350039249414966,7.712512813047593
1779167356.0716,8,CALIBRACION,Centro,Lateral,-27.345116446554652,7.043810298858553
1779167356.2039,8,CALIBRACION,Centro,Lateral,-29.353782532258723,5.38192937196685
1779167356.3326,8,CALIBRACION,Centro,Lateral,-18.095650029379275,5.94614217420601
1779167356.4679,8,CALIBRACION,Centro,Lateral,-19.205131761582148,5.454810800410614
1779167356.5956,8,CALIBRACION,Centro,Lateral,-16.638583080887692,7.4511722923308055
1779167356.7291,8,CALIBRACION,Centro,Lateral,-17.452043620725497,6.690823333169137
1779167356.8642,8,CALIBRACION,Centro,Lateral,-17.79369547796078,4.833207640588844
1779167357.0034,8,CALIBRACION,Centro,Lateral,-15.815322146801183,5.593632283378569
1779167357.1397,8,CALIBRACION,Centro,Lateral,-16.050368961462432,7.156915887706233
1779167357.2726,8,CALIBRACION,Centro,Lateral,-15.664671583979883,5.197592265580361
1779167357.4025,8,CALIBRACION,Centro,Centro,-13.210549836996497,4.950281434163199
1779167357.534,8,CALIBRACION,Centro,Centro,-10.10523503565166,6.206228161492453
1779167357.6688,8,CALIBRACION,Centro,Centro,-9.8430958806405,6.802900016051293
1779167357.8046,8,CALIBRACION,Centro,Centro,-12.411865258137274,5.581662572636945
1779167357.934,8,CALIBRACION,Centro,Centro,-10.693131077112325,2.7420275968245704
1779167358.0736,8,CALIBRACION,Centro,Centro,-9.978272687535268,3.751633851151873
1779167358.2063,8,CALIBRACION,Centro,Centro,-9.820977742806038,3.9027617618005737
1779167358.335,8,CALIBRACION,Centro,Centro,-8.99878597752226,4.452427381189391
