ts,session_id,step_id,gt_label,pred_label,roll_deg,pitch_deg
1779166337.4603,1,CALIBRACION,Centro,Centro,5.699,-1.528
1779166337.5969,1,CALIBRACION,Centro,Centro,5.699,-0.66
1779166337.7277,1,CALIBRACION,Centro,Centro,0.572,-1.382
1779166337.8571,1,CALIBRACION,Centro,Centro,0.572,-1.382
1779166337.9889,1,CALIBRACION,Centro,Centro,0.513,-1.382
1779166338.1156,1,CALIBRACION,Centro,Centro,0.572,-0.66
1779166338.2451,1,CALIBRACION,Centro,Centro,0.572,-0.66
1779166338.3783,1,CALIBRACION,Centro,Centro,0.513,-0.66
1779166338.5115,1,CALIBRACION,Centro,Centro,0.513,-0.721
1779166338.6407,1,CALIBRACION,Centro,Centro,2.62,-0.396
1779166338.7761,1,CALIBRACION,Centro,Centro,4.394,-0.396
1779166338.9034,1,CALIBRACION,Centro,Centro,5.664,-0.396
1779166339.1063,1,CALIBRACION,Centro,Centro,7.077,-0.721
1779166339.2691,1,CALIBRACION,Centro,Centro,8.117,-0.721
1779166339.4114,1,CALIBRACION,Centro,Centro,8.535,-0.721
1779166339.5755,1,CALIBRACION,Centro,Centro,9.568,-1.615
1779166339.718,1,CALIBRACION,Centro,Centro,9.816,-1.742
1779166339.8527,1,CALIBRACION,Centro,Centro,10.561,-2.058
1779166339.9931,1,CALIBRACION,Centro,Centro,10.852,-2.138
1779166340.1181,1,CALIBRACION,Centro,Centro,11.607,-2.138
1779166340.2498,1,CALIBRACION,Centro,Centro,11.607,-2.138
1779166340.3753,1,CALIBRACION,Centro,Centro,11.607,-2.138
1779166340.5161,1,CALIBRACION,Centro,Centro,10.852,-2.138
1779166340.6482,1,CALIBRACION,Centro,Centro,-2.219,-2.138
1779166340.7848,1,CALIBRACION,Centro,Centro,-2.219,-2.138
1779166340.9071,1,CALIBRACION,Centro,Centro,-2.219,-1.883
1779166341.0437,1,CALIBRACION,Centro,Centro,-2.219,-1.716
1779166341.1715,1,CALIBRACION,Centro,Centro,-1.998,-2.674
1779166341.3189,1,CALIBRACION,Centro,Centro,-0.061,-2.674
1779166341.513,1,CALIBRACION,Centro,Centro,0.611,-2.674
1779166341.7281,1,CALIBRACION,Centro,Centro,0.64,-1.997
1779166341.8581,1,CALIBRACION,Centro,Centro,0.669,-1.813
1779166342.0109,1,CALIBRACION,Centro,Centro,1.372,-1.997
1779166342.141,1,CALIBRACION,Centro,Centro,1.439,-2.361
1779166342.2774,1,CALIBRACION,Centro,Centro,1.439,-2.361
1779166342.4087,1,CALIBRACION,Centro,Centro,1.798,-2.428
1779166342.5421,1,CALIBRACION,Centro,Centro,1.841,-2.361
1779166342.6669,1,CALIBRACION,Centro,Centro,1.871,-2.361
1779166342.8008,1,CALIBRACION,Centro,Centro,1.871,-2.361
1779166342.9227,1,CALIBRACION,Centro,Centro,2.334,-2.189
1779166343.0591,1,CALIBRACION,Centro,Centro,2.928,-2.095
1779166343.1846,1,CALIBRACION,Centro,Centro,3.388,-2.095
1779166343.3788,1,CALIBRACION,Centro,Centro,3.508,-2.094
1779166343.5916,1,CALIBRACION,Centro,Centro,3.935,-2.094
1779166343.7274,1,CALIBRACION,Centro,Centro,5.393,-2.094
1779166343.8559,1,CALIBRACION,Centro,Centro,6.307,-2.094
1779166343.9895,1,CALIBRACION,Centro,Centro,6.973,-1.908
1779166344.1193,1,CALIBRACION,Centro,Lateral,20.039,-1.156
1779166344.2517,1,CALIBRACION,Centro,Lateral,20.998,-1.048
1779166344.3748,1,CALIBRACION,Centro,Lateral,25.05,-1.048
1779166344.5148,1,CALIBRACION,Centro,Lateral,26.055,-1.156
1779166344.6509,1,CALIBRACION,Centro,Lateral,26.474,-2.196
1779166344.7852,1,CALIBRACION,Centro,Lateral,26.951,-3.571
1779166344.914,1,CALIBRACION,Centro,Lateral,28.896,-3.739
1779166345.0483,1,CALIBRACION,Centro,Lateral,29.518,-5.425
1779166345.1758,1,CALIBRACION,Centro,Lateral,29.518,-5.465
1779166345.3088,1,CALIBRACION,Centro,Lateral,29.518,-5.425
1779166345.4383,1,CALIBRACION,Centro,Lateral,29.518,-5.425
1779166345.5765,1,CALIBRACION,Centro,Lateral,26.67,-5.425
1779166345.7014,1,CALIBRACION,Centro,Lateral,21.127,-4.898
1779166345.8375,1,CALIBRACION,Centro,Lateral,20.363,-4.898
1779166345.9689,1,CALIBRACION,Centro,Lateral,20.363,-3.619
1779166346.1035,1,CALIBRACION,Centro,Lateral,20.363,-3.619
1779166346.2516,1,CALIBRACION,Centro,Lateral,20.363,-3.386
1779166346.4061,1,CALIBRACION,Centro,Lateral,20.786,-2.15
1779166346.5443,1,CALIBRACION,Centro,Lateral,20.901,-1.376
1779166346.6714,1,CALIBRACION,Centro,Lateral,20.901,1.153
1779166346.8046,1,CALIBRACION,Centro,Lateral,20.901,1.387
1779166346.931,1,CALIBRACION,Centro,Lateral,20.901,1.468
1779166347.0637,1,CALIBRACION,Centro,Lateral,20.126,1.951
1779166347.1872,1,CALIBRACION,Centro,Lateral,19.946,1.951
1779166347.3275,1,CALIBRACION,Centro,Lateral,19.017,1.468
1779166347.4564,1,CALIBRACION,Centro,Lateral,19.017,1.468
1779166347.5949,1,CALIBRACION,Centro,Lateral,19.017,1.387
1779166347.7267,1,CALIBRACION,Centro,Lateral,18.987,1.074
1779166347.8552,1,CALIBRACION,Centro,Lateral,18.987,1.074
1779166347.9725,1,CALIBRACION,Centro,Lateral,18.987,1.074
1779166348.1099,1,CALIBRACION,Centro,Lateral,19.029,1.204
1779166348.2418,1,CALIBRACION,Centro,Lateral,19.029,1.204
1779166348.3749,1,CALIBRACION,Centro,Lateral,21.382,0.737
1779166350.0087,1,CALIBRACION,Centro,Lateral,29.532,-0.617
1779166350.137,1,CALIBRACION,Centro,Lateral,31.774,-9.653
1779166350.2704,1,CALIBRACION,Centro,Lateral,57.658,-25.931
1779166350.4011,1,CALIBRACION,Centro,Lateral,60.392,-27.055
1779166355.615,1,INCLINACION_ADELANTE,Forward,Forward,63.786,-28.67
1779166356.3939,1,INCLINACION_ADELANTE,Forward,Forward,63.786,-28.67
1779166356.5278,1,INCLINACION_ADELANTE,Forward,Forward,60.392,-27.055
1779166356.6653,1,INCLINACION_ADELANTE,Forward,Forward,60.392,-27.055
1779166356.8046,1,INCLINACION_ADELANTE,Forward,Forward,39.045,-15.241
1779166356.9345,1,INCLINACION_ADELANTE,Forward,Forward,39.045,-15.241
1779166357.0679,1,INCLINACION_ADELANTE,Forward,Forward,39.045,-15.241
1779166357.1959,1,INCLINACION_ADELANTE,Forward,Forward,37.622,-15.241
1779166357.3325,1,INCLINACION_ADELANTE,Forward,Forward,37.622,-13.196
1779166357.4624,1,INCLINACION_ADELANTE,Forward,Forward,37.622,-13.196
1779166357.5954,1,INCLINACION_ADELANTE,Forward,Forward,21.856,-13.196
1779166357.7195,1,INCLINACION_ADELANTE,Forward,Forward,20.838,-5.404
1779166357.8359,1,INCLINACION_ADELANTE,Forward,Centro,5.372,-3.224
1779166357.9626,1,INCLINACION_ADELANTE,Forward,Centro,-9.48,0.645
1779166358.1461,1,INCLINACION_ADELANTE,Forward,Forward,-20.115,1.213
1779166358.3177,1,INCLINACION_ADELANTE,Forward,Forward,-20.115,1.469
1779166358.4564,1,INCLINACION_ADELANTE,Forward,Forward,-20.115,1.469
1779166358.5871,1,INCLINACION_ADELANTE,Forward,Centro,1.219,1.469
1779166358.7081,1,INCLINACION_ADELANTE,Forward,Centro,1.219,1.391
1779166358.836,1,INCLINACION_ADELANTE,Forward,Forward,18.768,1.391
1779166358.9708,1,INCLINACION_ADELANTE,Forward,Forward,32.358,-10.054
1779166359.0904,1,INCLINACION_ADELANTE,Forward,Forward,36.848,-12.649
1779166359.2111,1,INCLINACION_ADELANTE,Forward,Forward,37.486,-12.649
1779166359.3424,1,INCLINACION_ADELANTE,Forward,Forward,37.486,-12.649
1779166359.4773,1,INCLINACION_ADELANTE,Forward,Forward,37.486,-11.507
1779166359.6087,1,INCLINACION_ADELANTE,Forward,Forward,37.473,-11.423
1779166359.7509,1,INCLINACION_ADELANTE,Forward,Forward,32.358,-10.054
1779166359.8775,1,INCLINACION_ADELANTE,Forward,Forward,28.739,-8.847
1779166360.0137,1,INCLINACION_ADELANTE,Forward,Forward,16.658,-8.847
1779166360.1417,1,INCLINACION_ADELANTE,Forward,Centro,7.483,-8.847
1779166360.5158,1,INCLINACION_ADELANTE,Forward,Centro,7.483,-8.847
1779166360.6448,1,INCLINACION_ADELANTE,Forward,Centro,6.34,-10.35
1779166360.8977,1,INCLINACION_ADELANTE,Forward,Centro,5.87,-18.687
1779166361.0333,1,INCLINACION_ADELANTE,Forward,Centro,3.917,-22.637
1779166361.1637,1,INCLINACION_ADELANTE,Forward,Centro,-0.897,-22.637
1779166361.3128,1,INCLINACION_ADELANTE,Forward,Centro,-2.268,-22.637
1779166361.4408,1,INCLINACION_ADELANTE,Forward,Centro,-7.677,-22.637
1779166361.5756,1,INCLINACION_ADELANTE,Forward,Centro,-8.925,-19.844
1779166361.7032,1,INCLINACION_ADELANTE,Forward,Centro,-9.19,-18.705
1779166361.8407,1,INCLINACION_ADELANTE,Forward,Centro,-8.925,-17.908
1779166361.9633,1,INCLINACION_ADELANTE,Forward,Centro,-9.19,-17.908
1779166362.0995,1,INCLINACION_ADELANTE,Forward,Centro,-9.739,-17.908
1779166362.2228,1,INCLINACION_ADELANTE,Forward,Centro,-9.739,-17.385
1779166362.3465,1,INCLINACION_ADELANTE,Forward,Centro,-9.739,-17.385
1779166362.476,1,LATERAL_IZQ,Lateral,Centro,-10.409,-17.987
1779166362.6036,1,LATERAL_IZQ,Lateral,Centro,-10.409,-18.169
1779166362.7298,1,LATERAL_IZQ,Lateral,Centro,-10.646,-18.868
1779166362.8666,1,LATERAL_IZQ,Lateral,Centro,-11.803,-19.816
1779166362.9978,1,LATERAL_IZQ,Lateral,Centro,-11.803,-20.445
1779166363.1485,1,LATERAL_IZQ,Lateral,Centro,-14.953,-20.445
1779166363.286,1,LATERAL_IZQ,Lateral,Centro,-14.953,-20.953
1779166363.4154,1,LATERAL_IZQ,Lateral,Centro,-14.953,-21.545
1779166363.5469,1,LATERAL_IZQ,Lateral,Lateral,-15.664,-21.34
1779166363.6835,1,LATERAL_IZQ,Lateral,Lateral,-16.21,-21.545
1779166363.8404,1,LATERAL_IZQ,Lateral,Lateral,-16.21,-21.725
1779166363.9703,1,LATERAL_IZQ,Lateral,Lateral,-16.21,-21.725
1779166364.0998,1,LATERAL_IZQ,Lateral,Lateral,-16.437,-21.85
1779166364.2306,1,LATERAL_IZQ,Lateral,Lateral,-16.313,-22.096
1779166364.3589,1,LATERAL_IZQ,Lateral,Lateral,-16.21,-22.532
1779166364.4872,1,LATERAL_IZQ,Lateral,Lateral,-15.939,-22.928
1779166364.6242,1,LATERAL_IZQ,Lateral,Centro,-14.433,-23.272
1779166364.7553,1,LATERAL_IZQ,Lateral,Centro,-14.056,-24.06
1779166364.8913,1,LATERAL_IZQ,Lateral,Centro,-10.357,-24.89
1779166365.0198,1,LATERAL_IZQ,Lateral,Centro,-9.921,-25.822
1779166365.1542,1,LATERAL_IZQ,Lateral,Centro,-9.611,-28.473
1779166365.2901,1,LATERAL_IZQ,Lateral,Centro,-7.402,-28.882
1779166365.4191,1,LATERAL_IZQ,Lateral,Centro,-7.402,-29.386
1779166365.5556,1,LATERAL_IZQ,Lateral,Centro,-7.402,-29.627
1779166365.6836,1,LATERAL_IZQ,Lateral,Centro,-7.398,-29.627
1779166365.8192,1,LATERAL_IZQ,Lateral,Centro,-6.111,-29.386
1779166365.9479,1,LATERAL_IZQ,Lateral,Centro,-7.398,-29.386
1779166366.0819,1,LATERAL_IZQ,Lateral,Centro,-7.398,-29.173
1779166366.2216,1,LATERAL_IZQ,Lateral,Centro,-8.11,-28.647
1779166366.3644,1,LATERAL_IZQ,Lateral,Centro,-9.095,-27.89
