ts,session_id,step_id,gt_label,pred_label,roll_deg,pitch_deg
1779167445.2608,7,CALIBRACION,Centro,Lateral,44.09,15.109
1779167445.3949,7,CALIBRACION,Centro,Lateral,28.507,10.986
1779167445.5278,7,CALIBRACION,Centro,Lateral,28.507,10.986
1779167445.6611,7,CALIBRACION,Centro,Lateral,20.493,10.157
1779167445.7902,7,CALIBRACION,Centro,Lateral,20.493,10.157
1779167445.9308,7,CALIBRACION,Centro,Lateral,20.22,9.086
1779167446.0706,7,CALIBRACION,Centro,Lateral,20.493,9.086
1779167446.2079,7,CALIBRACION,Centro,Lateral,20.493,10.157
1779167446.339,7,CALIBRACION,Centro,Lateral,20.493,10.157
1779167446.4775,7,CALIBRACION,Centro,Lateral,28.329,10.157
1779167446.6132,7,CALIBRACION,Centro,Lateral,38.57,6.678
1779167446.7525,7,CALIBRACION,Centro,Lateral,43.748,10.604
1779167446.8845,7,CALIBRACION,Centro,Lateral,43.748,10.737
1779167447.0086,7,CALIBRACION,Centro,Lateral,43.748,10.737
1779167447.1439,7,CALIBRACION,Centro,Lateral,38.57,13.355
1779167447.2748,7,CALIBRACION,Centro,Lateral,31.747,14.334
1779167447.3982,7,CALIBRACION,Centro,Lateral,31.747,14.334
1779167447.5305,7,CALIBRACION,Centro,Lateral,31.747,14.334
1779167447.6655,7,CALIBRACION,Centro,Lateral,31.747,14.334
1779167447.7955,7,CALIBRACION,Centro,Lateral,40.074,13.858
1779167447.9316,7,CALIBRACION,Centro,Lateral,40.074,13.858
1779167448.0589,7,CALIBRACION,Centro,Lateral,40.074,13.005
1779167448.199,7,CALIBRACION,Centro,Lateral,40.074,12.688
1779167448.3258,7,CALIBRACION,Centro,Lateral,38.984,12.688
1779167448.4641,7,CALIBRACION,Centro,Lateral,33.206,12.688
1779167448.5936,7,CALIBRACION,Centro,Lateral,33.206,13.889
1779167448.7256,7,CALIBRACION,Centro,Lateral,33.206,13.889
1779167448.8528,7,CALIBRACION,Centro,Lateral,33.206,12.688
1779167449.7241,7,CALIBRACION,Centro,Lateral,44.869,12.688
1779167449.8566,7,CALIBRACION,Centro,Lateral,44.869,8.423
1779167451.0187,7,CALIBRACION,Centro,Lateral,44.869,8.423
1779167451.1576,7,CALIBRACION,Centro,Lateral,44.869,8.423
1779167451.2876,7,CALIBRACION,Centro,Lateral,21.141,8.423
1779167451.4238,7,CALIBRACION,Centro,Centro,-0.121,27.312
1779167452.4456,7,CALIBRACION,Centro,Centro,-0.121,27.312
1779167452.58,7,CALIBRACION,Centro,Centro,-0.121,27.312
1779167452.9735,7,CALIBRACION,Centro,Centro,-0.121,27.312
1779167453.1007,7,CALIBRACION,Centro,Centro,4.597,-27.086
1779167453.2369,7,CALIBRACION,Centro,Centro,7.82,-28.991
1779167453.3728,7,CALIBRACION,Centro,Centro,7.82,-28.991
1779167453.5081,7,CALIBRACION,Centro,Centro,7.82,-30.345
1779167453.6459,7,CALIBRACION,Centro,Centro,7.82,-30.345
1779167453.7788,7,CALIBRACION,Centro,Centro,7.82,-28.991
1779167453.9117,7,CALIBRACION,Centro,Centro,8.549,-28.775
1779167454.1237,7,CALIBRACION,Centro,Centro,7.82,-28.775
1779167454.2661,7,CALIBRACION,Centro,Centro,6.482,-28.159
1779167454.4033,7,CALIBRACION,Centro,Centro,6.482,-28.159
1779167454.5393,7,CALIBRACION,Centro,Centro,6.482,-27.026
1779167454.6719,7,CALIBRACION,Centro,Centro,5.836,-26.438
1779167454.8054,7,CALIBRACION,Centro,Centro,5.752,-26.296
1779167454.9373,7,CALIBRACION,Centro,Centro,5.752,-26.296
1779167455.0738,7,CALIBRACION,Centro,Centro,5.752,-26.296
1779167455.2095,7,CALIBRACION,Centro,Centro,5.836,-26.438
1779167455.3431,7,CALIBRACION,Centro,Centro,5.836,-26.438
1779167455.4794,7,CALIBRACION,Centro,Centro,5.836,-26.438
1779167455.6105,7,CALIBRACION,Centro,Centro,5.752,-26.296
1779167455.7473,7,CALIBRACION,Centro,Centro,5.988,-24.14
1779167455.877,7,CALIBRACION,Centro,Centro,7.542,-22.063
1779167456.0105,7,CALIBRACION,Centro,Centro,7.542,-22.063
1779167456.1343,7,CALIBRACION,Centro,Centro,8.07,-22.063
1779167456.2734,7,CALIBRACION,Centro,Centro,9.892,-22.467
1779167456.4132,7,CALIBRACION,Centro,Centro,9.892,-22.467
1779167456.5609,7,CALIBRACION,Centro,Centro,9.892,-23.395
1779167456.6932,7,CALIBRACION,Centro,Centro,9.892,-23.864
1779167456.8278,7,CALIBRACION,Centro,Centro,8.062,-23.864
1779167456.9582,7,CALIBRACION,Centro,Centro,6.812,-23.864
1779167457.0759,7,CALIBRACION,Centro,Centro,-2.055,-23.864
1779167457.2109,7,CALIBRACION,Centro,Centro,-3.008,-23.591
1779167457.3429,7,CALIBRACION,Centro,Centro,-5.86,-22.579
1779167457.4768,7,CALIBRACION,Centro,Centro,-6.435,-22.508
1779167457.6164,7,CALIBRACION,Centro,Centro,-7.788,-22.158
1779167457.7532,7,CALIBRACION,Centro,Centro,-8.657,-22.08
1779167457.8861,7,CALIBRACION,Centro,Centro,-8.722,-22.038
1779167458.0186,7,CALIBRACION,Centro,Centro,-9.128,-21.972
1779167458.1533,7,CALIBRACION,Centro,Centro,-9.441,-21.771
1779167458.2861,7,CALIBRACION,Centro,Centro,-11.387,-21.694
1779167458.4258,7,CALIBRACION,Centro,Centro,-13.708,-21.294
1779167458.5542,7,CALIBRACION,Centro,Lateral,-16.989,-20.593
1779167458.6741,7,CALIBRACION,Centro,Lateral,-17.365,-20.513
1779167458.8097,7,CALIBRACION,Centro,Lateral,-17.589,-20.513
1779167458.9439,7,CALIBRACION,Centro,Lateral,-18.031,-20.455
1779167459.0773,7,CALIBRACION,Centro,Lateral,-18.067,-20.443
1779167459.2148,7,CALIBRACION,Centro,Lateral,-18.067,-20.443
1779167459.3467,7,CALIBRACION,Centro,Lateral,-19.3,-20.241
1779167459.4842,7,CALIBRACION,Centro,Lateral,-19.3,-20.241
1779167459.6075,7,CALIBRACION,Centro,Lateral,-19.64,-20.26
1779167459.7455,7,CALIBRACION,Centro,Lateral,-19.895,-20.26
1779167459.8767,7,CALIBRACION,Centro,Lateral,-20.268,-20.565
1779167460.0198,7,CALIBRACION,Centro,Lateral,-20.268,-20.589
1779167460.1519,7,INCLINACION_ADELANTE,Forward,Forward,-20.268,-20.589
1779167460.2886,7,INCLINACION_ADELANTE,Forward,Forward,-20.268,-20.655
1779167460.552,7,INCLINACION_ADELANTE,Forward,Forward,-20.268,-20.754
1779167460.8122,7,INCLINACION_ADELANTE,Forward,Centro,-14.67,-20.754
1779167460.9517,7,INCLINACION_ADELANTE,Forward,Centro,-11.906,-20.754
1779167461.9675,7,INCLINACION_ADELANTE,Forward,Centro,-10.944,-21.612
1779167462.8537,7,INCLINACION_ADELANTE,Forward,Centro,4.695,-23.549
1779167463.2377,7,INCLINACION_ADELANTE,Forward,Forward,39.258,-24.529
1779167463.876,7,INCLINACION_ADELANTE,Forward,Forward,39.685,-55.81
1779167469.7294,7,INCLINACION_ADELANTE,Forward,Forward,39.685,-55.81
1779167470.5937,7,LATERAL_IZQ,Lateral,Lateral,39.685,-55.81
1779167479.2851,7,LATERAL_IZQ,Lateral,Lateral,39.685,-56.999
1779167480.163,7,CENTRO_1,Centro,Lateral,39.685,-55.81
1779167480.4232,7,CENTRO_1,Centro,Lateral,32.627,-52.432
1779167480.5556,7,CENTRO_1,Centro,Centro,-10.709,-13.149
1779167480.6719,7,CENTRO_1,Centro,Centro,-13.616,-12.104
1779167480.7915,7,CENTRO_1,Centro,Centro,-13.616,-11.154
1779167480.9304,7,CENTRO_1,Centro,Centro,-13.616,-11.154
1779167481.0647,7,CENTRO_1,Centro,Centro,-13.659,-10.849
1779167488.5174,7,CENTRO_1,Centro,Centro,-13.659,-11.154
1779167488.7812,7,CENTRO_1,Centro,Centro,-13.659,-11.154
1779167488.9378,7,CENTRO_1,Centro,Centro,-13.659,-12.104
1779167489.0716,7,CENTRO_1,Centro,Centro,-13.659,-28.648
1779167489.2063,7,CENTRO_1,Centro,Centro,-13.659,-32.86
1779167489.3445,7,CENTRO_1,Centro,Centro,10.508,-40.554
1779167489.4899,7,CENTRO_1,Centro,Centro,10.568,-40.576
1779167489.6163,7,CENTRO_1,Centro,Centro,11.812,-40.576
1779167489.7551,7,CENTRO_1,Centro,Centro,12.005,-40.603
1779167489.8848,7,CENTRO_1,Centro,Centro,12.005,-40.603
1779167490.0208,7,CENTRO_1,Centro,Centro,12.728,-40.576
1779167490.1509,7,CENTRO_1,Centro,Centro,12.754,-40.576
