ts,session_id,step_id,gt_label,pred_label,roll_deg,pitch_deg
1779166509.6465,2,CALIBRACION,Centro,Centro,4.256,23.913
1779166509.7702,2,CALIBRACION,Centro,Centro,4.256,22.386
1779166509.8952,2,CALIBRACION,Centro,Centro,10.009,23.913
1779166510.0221,2,CALIBRACION,Centro,Centro,10.009,22.386
1779166510.156,2,CALIBRACION,Centro,Centro,10.685,22.386
1779166510.2837,2,CALIBRACION,Centro,Centro,10.009,18.535
1779166510.4212,2,CALIBRACION,Centro,Centro,10.009,18.535
1779166510.5513,2,CALIBRACION,Centro,Centro,10.685,18.535
1779166510.6828,2,CALIBRACION,Centro,Centro,10.685,18.535
1779166510.8055,2,CALIBRACION,Centro,Centro,10.685,18.535
1779166510.917,2,CALIBRACION,Centro,Centro,11.799,24.741
1779166511.0453,2,CALIBRACION,Centro,Lateral,15.306,26.311
1779166511.1667,2,CALIBRACION,Centro,Lateral,15.744,26.311
1779166511.2956,2,CALIBRACION,Centro,Lateral,15.744,26.311
1779166511.4264,2,CALIBRACION,Centro,Lateral,15.306,24.741
1779166511.5588,2,CALIBRACION,Centro,Lateral,15.306,24.373
1779166511.6909,2,CALIBRACION,Centro,Centro,5.753,24.373
1779166511.8239,2,CALIBRACION,Centro,Centro,3.218,19.735
1779166511.9527,2,CALIBRACION,Centro,Centro,2.736,17.928
1779166512.0903,2,CALIBRACION,Centro,Centro,-0.085,17.658
1779166512.2283,2,CALIBRACION,Centro,Centro,-4.374,17.658
1779166512.3851,2,CALIBRACION,Centro,Centro,-4.374,17.658
1779166512.5122,2,CALIBRACION,Centro,Centro,-4.374,17.08
1779166512.6433,2,CALIBRACION,Centro,Centro,-2.751,16.94
1779166512.77,2,CALIBRACION,Centro,Centro,-2.751,11.482
1779166512.8998,2,CALIBRACION,Centro,Centro,-0.085,9.059
1779166513.0327,2,CALIBRACION,Centro,Centro,-0.891,8.758
1779166513.1674,2,CALIBRACION,Centro,Centro,0.236,7.827
1779166513.2987,2,CALIBRACION,Centro,Centro,0.461,6.72
1779166513.4305,2,CALIBRACION,Centro,Centro,3.911,5.962
1779166513.5846,2,CALIBRACION,Centro,Centro,8.696,5.962
1779166513.7122,2,CALIBRACION,Centro,Centro,8.696,5.8
1779166513.847,2,CALIBRACION,Centro,Centro,11.211,5.962
1779166513.9745,2,CALIBRACION,Centro,Centro,11.211,5.962
1779166514.1102,2,CALIBRACION,Centro,Centro,13.491,5.987
1779166514.2411,2,CALIBRACION,Centro,Centro,11.211,5.987
1779166514.3816,2,CALIBRACION,Centro,Centro,10.91,5.987
1779166514.5161,2,CALIBRACION,Centro,Centro,10.91,5.987
1779166514.6515,2,CALIBRACION,Centro,Centro,12.666,5.987
1779166514.8242,2,CALIBRACION,Centro,Centro,12.666,5.987
1779166514.9814,2,CALIBRACION,Centro,Lateral,15.086,5.804
1779166515.1133,2,CALIBRACION,Centro,Lateral,15.086,5.723
1779166515.2446,2,CALIBRACION,Centro,Lateral,21.197,5.723
1779166515.3859,2,CALIBRACION,Centro,Lateral,21.197,5.804
1779166515.5296,2,CALIBRACION,Centro,Lateral,21.932,5.804
1779166515.6648,2,CALIBRACION,Centro,Lateral,21.932,6.932
1779166515.7978,2,CALIBRACION,Centro,Lateral,23.396,6.835
1779166515.9313,2,CALIBRACION,Centro,Lateral,23.396,8.233
1779166516.0639,2,CALIBRACION,Centro,Lateral,21.197,8.233
1779166516.2262,2,CALIBRACION,Centro,Lateral,20.917,9.645
1779166516.3758,2,CALIBRACION,Centro,Lateral,23.396,8.233
1779166516.5032,2,CALIBRACION,Centro,Lateral,23.396,9.788
1779166516.64,2,CALIBRACION,Centro,Lateral,23.522,9.477
1779166516.8149,2,CALIBRACION,Centro,Lateral,20.917,9.788
1779166516.9957,2,CALIBRACION,Centro,Lateral,23.522,9.477
1779166517.1721,2,CALIBRACION,Centro,Lateral,26.832,9.477
1779166517.3427,2,CALIBRACION,Centro,Lateral,26.832,9.477
1779166517.4957,2,CALIBRACION,Centro,Lateral,26.832,9.477
1779166517.6439,2,CALIBRACION,Centro,Lateral,22.416,8.743
1779166517.7738,2,CALIBRACION,Centro,Lateral,20.062,8.21
1779166517.9066,2,CALIBRACION,Centro,Lateral,20.062,8.055
1779166518.0297,2,CALIBRACION,Centro,Centro,11.044,6.678
1779166518.1667,2,CALIBRACION,Centro,Centro,11.044,6.23
1779166518.2945,2,CALIBRACION,Centro,Centro,11.044,6.23
1779166518.4251,2,CALIBRACION,Centro,Centro,9.416,6.003
1779166518.5722,2,CALIBRACION,Centro,Centro,9.416,6.003
1779166518.6962,2,CALIBRACION,Centro,Centro,9.416,6.23
1779166518.829,2,CALIBRACION,Centro,Centro,11.044,6.252
1779166518.9596,2,CALIBRACION,Centro,Centro,12.538,6.252
1779166519.0871,2,CALIBRACION,Centro,Centro,12.538,6.334
1779166519.2083,2,CALIBRACION,Centro,Centro,13.557,6.503
