ts,session_id,step_id,gt_label,pred_label,roll_deg,pitch_deg
1779166610.3455,4,CALIBRACION,Centro,Centro,12.79324449834811,-5.290695801775851
1779166610.479,4,CALIBRACION,Centro,Centro,12.839096172246913,-6.053797223010256
1779166610.6126,4,CALIBRACION,Centro,Centro,8.751855464312781,-12.054018258901774
1779166610.7363,4,CALIBRACION,Centro,Centro,6.98202027136716,-5.534502486215096
1779166610.8749,4,CALIBRACION,Centro,Centro,0.8856731279929625,-5.214932942992668
1779166611.0003,4,CALIBRACION,Centro,Centro,2.570698115764051,-4.781627826584799
1779166611.1291,4,CALIBRACION,Centro,Centro,-0.7282332388012593,-8.349727904028097
1779166611.2602,4,CALIBRACION,Centro,Forward,1.571178084543147,-5.560116118785139
1779166611.39,4,CALIBRACION,Centro,Centro,0.9472945424093842,-5.275339440468756
1779166611.5113,4,CALIBRACION,Centro,Centro,0.9262810346081649,-4.3524686466475515
1779166611.651,4,CALIBRACION,Centro,Centro,0.12694847875055504,-4.591720762071193
1779166611.7812,4,CALIBRACION,Centro,Centro,-1.0001702055605008,-5.299921986422321
1779166611.9084,4,CALIBRACION,Centro,Centro,-5.880300316796357,-7.097049505757929
1779166612.0351,4,CALIBRACION,Centro,Centro,-6.291426971478639,-6.497184825089902
1779166612.1679,4,CALIBRACION,Centro,Centro,-7.791731500019683,-6.494188732653253
1779166612.2881,4,CALIBRACION,Centro,Centro,-6.237996045397409,-8.556450606840615
1779166612.4211,4,CALIBRACION,Centro,Centro,-7.81428949662556,-8.921537607080472
1779166612.5505,4,CALIBRACION,Centro,Centro,-7.65014177883163,-10.507809762909893
1779166612.6922,4,CALIBRACION,Centro,Centro,-8.630845978328594,-9.56998810075951
1779166612.8284,4,CALIBRACION,Centro,Centro,-6.376691882121445,-11.766901403626747
1779166612.9686,4,CALIBRACION,Centro,Centro,-8.0388005104081,-9.08103592666064
1779166613.0998,4,CALIBRACION,Centro,Centro,-7.336888800018862,-9.694273845862542
1779166613.2271,4,CALIBRACION,Centro,Lateral,-6.147400037026461,-9.72724548141979
1779166613.3596,4,CALIBRACION,Centro,Centro,-6.825766531758595,-11.045676388128191
1779166613.4963,4,CALIBRACION,Centro,Centro,-0.2777496372938122,-12.279356436378142
1779166613.6292,4,CALIBRACION,Centro,Centro,5.6755531274599935,-11.816143544088854
1779166613.7542,4,CALIBRACION,Centro,Centro,3.1704080955266534,-16.933705702937242
1779166613.8926,4,CALIBRACION,Centro,Centro,2.4072625359468116,-17.365951215122745
1779166614.0199,4,CALIBRACION,Centro,Centro,4.414279683499836,-20.508918970465714
1779166614.1533,4,CALIBRACION,Centro,Centro,0.1424739626830962,-16.979094074832076
1779166614.2742,4,CALIBRACION,Centro,Centro,1.709623802976055,-16.904176566396856
